1, 1, 1
2, 2, 1
3, 3, 1
4, 4, 2
5, 4, 3
6, 5, 3
7, 6, 4
8, 6, 5
9, 7, 5
10, 8, 6
11, 9, 6
12, 10, 7
13, 11, 7
14, 12, 8
15, 13, 8
16, 14, 9
17, 15, 9
18, 16, 10
19, 17, 10
20, 18, 11
21, 18, 12
22, 19, 12
23, 20, 13
24, 20, 14
25, 21, 14
26, 22, 15
27, 22, 16
28, 23, 16
29, 24, 17
30, 25, 17
31, 26, 18
32, 26, 19
33, 27, 19
34, 28, 20
35, 29, 20
36, 30, 21
37, 31, 21
38, 32, 22
39, 33, 22
40, 34, 23
41, 34, 24
42, 35, 24
43, 36, 25
44, 36, 26
45, 37, 26
46, 38, 27
47, 39, 27
48, 40, 28
49, 41, 28
50, 42, 29
51, 42, 30
52, 43, 30
53, 44, 31
54, 45, 31
55, 46, 32
56, 46, 33
57, 47, 33
58, 48, 34
59, 49, 34
60, 50, 35
61, 51, 35
62, 52, 36
63, 52, 37
64, 53, 37
65, 54, 38
66, 55, 38
67, 56, 39
68, 56, 40
69, 57, 40
70, 58, 41
71, 58, 42
72, 59, 42
73, 60, 43
74, 61, 43
75, 62, 44
76, 63, 44
77, 64, 45
78, 65, 45
79, 66, 46
80, 66, 47
81, 67, 47
82, 68, 48
83, 69, 48
84, 70, 49
85, 71, 49
86, 72, 50
87, 73, 50
88, 74, 51
89, 75, 51
90, 76, 52
91, 76, 53
92, 77, 53
93, 78, 54
94, 79, 54
95, 80, 55
96, 81, 55
97, 82, 56
98, 83, 56
99, 84, 57
100, 85, 57
101, 86, 58
102, 86, 59
103, 87, 59
104, 88, 60
105, 89, 60
106, 90, 61
107, 91, 61
108, 92, 62
109, 92, 63
110, 93, 63
111, 94, 64
112, 95, 64
113, 96, 65
114, 97, 65
115, 98, 66
116, 99, 66
117, 100, 67
118, 100, 68
119, 101, 68
120, 102, 69
121, 103, 69
122, 104, 70
123, 105, 70
124, 106, 71
125, 106, 72
126, 107, 72
127, 108, 73
128, 109, 73
129, 110, 74
130, 111, 74
131, 112, 75
132, 113, 75
133, 114, 76
134, 115, 76
135, 116, 77
136, 116, 78
137, 117, 78
138, 118, 79
139, 119, 79
140, 120, 80
141, 121, 80
142, 122, 81
143, 122, 82
144, 123, 82
145, 124, 83
146, 125, 83
147, 126, 84
148, 127, 84
149, 128, 85
150, 128, 86
151, 129, 86
152, 130, 87
153, 131, 87
154, 132, 88
155, 133, 88
156, 134, 89
157, 135, 89
158, 136, 90
159, 137, 90
160, 138, 91
161, 139, 91
162, 140, 92
163, 141, 92
164, 142, 93
165, 142, 94
166, 143, 94
167, 144, 95
168, 145, 95
169, 146, 96
170, 147, 96
171, 148, 97
172, 148, 98
173, 149, 98
174, 150, 99
175, 151, 99
176, 152, 100
177, 153, 100
178, 154, 101
179, 155, 101
180, 156, 102
181, 157, 102
182, 158, 103
183, 159, 103
184, 160, 104
185, 161, 104
186, 162, 105
187, 163, 105
188, 164, 106
189, 165, 106
190, 166, 107
191, 166, 108
192, 167, 108
193, 168, 109
194, 169, 109
195, 170, 110
196, 171, 110
197, 172, 111
198, 172, 112
199, 173, 112
200, 174, 113
